Serial No.;Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Auftrag;MRP Contr.;Arbeitsplatz;Gewicht/1 ST [KG];Bedarfsmenge SD;Auftrag menge [TO];Gedrückt;Gedrückt [TO];Rest Presse;Rest Presse [TO];Oven/Furnace;Temprature;Prelim. Stage;MatVent.;Modellnummer;;;Quality;Quality-Version;YSOR vers.
1;0;;0;;;8100059327;1-76 ZS65AK \ 1-76 ZS65AK;1,1E+11;PR;P-SI-H2;7,573;2.120,00;16,055;0;0;2.120,00;16,055;MTO;1670.00;;4.00;M.-6254;;;;;
2;0;;0;;;8100059327;1-76 ZS65AK \ 1-76 ZS65AK;1,1E+11;PR;P-SI-H2;7,573;2.120,00;16,055;4.240,00;32,11;-2.120;-16,055;MTO;1670.00;;4.00;M.-6254;;;;;
3;0;;0;;;8100060222;478X468X76 ZS65AK \ o.G.;1,1E+11;PR;P-SI-L5;64,608;6;0,388;0;0;6;0,388;MTO;1670.00;;0.00;;;;;;
4;0;520001425;0;Hydro Aluminium A.S.;23.10.2015;8100054290;7P-200 HR50 \ 7P-200 HR50;1,1E+11;PR;P-SA-H2;22,453;240;5,726;0;0;255;5,726;TOS;1460.00;;0.00;M.-14299;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.000-A;900696;H001;'@9V@
5;0;520001425;0;Hydro Aluminium A.S.;23.10.2015;8100054290;7P-200 HR50 \ 7P-200 HR50;1,1E+11;PR;P-SA-H2;22,453;240;5,726;276;6,197;-21;-0,472;TOS;1460.00;;0.00;M.-14299;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.000-A;900696;H001;'@9V@
6;0;;0;;;8100054057;635X510X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;85,464;58;4,957;0;0;58;4,957;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
7;0;;0;;;8100054057;635X510X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;85,464;58;4,957;85;7,264;-27;-2,308;HWO;1435.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
8;0;;0;;;8100053819;480X470X140 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;57,483;16;0,92;0;0;16;0,92;HWO;1435.00;;1.00;M.-13955;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
9;0;;0;;;8100053819;480X470X140 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;57,483;16;0,92;173;9,945;-157;-9,025;HWO;1435.00;;1.00;M.-13955;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
10;0;;0;;;8100053311;2D OM70S \ 2D OM70S;1,1E+11;PR;P-SI-H2;10,56;174;1,837;0;0;174;1,837;MTO;1720.00;;1.00;M.-3022;;;;;
11;0;;0;;;8100053311;2D OM70S \ 2D OM70S;1,1E+11;PR;P-SI-H2;10,56;174;1,837;348;3,675;-174;-1,837;MTO;1720.00;;1.00;M.-3022;;;;;
12;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066349;94701 IK45E-H \ 94701 A40;1,1E+11;HF;HAND;4,502;19;0,095;0;0;21;0,095;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
13;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066349;94701 IK45E-H \ 94701 A40;1,1E+11;HF;HAND;4,502;19;0,095;21;0,095;0;0;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
14;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066340;94698 IK45E-H \ o.G.;1,1E+11;HF;HAND;24,908;19;0,523;0;0;21;0,523;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
15;0;520001543;0;Riedhammer GmbH;11.09.2015;8100066340;94698 IK45E-H \ o.G.;1,1E+11;HF;HAND;24,908;19;0,523;28;0,697;-7;-0,174;HOS;1420.00;;0.00;;"STANDARD, IK42, IK45;HANDFORM";IK45E-H-938903.005-S;900646;H001;'@9V@
16;0;;0;;;8100055082;F31-5 EIIB \ F31-5 BB80;1,1E+11;PR;P-SA-H2;14,628;30;0,439;0;0;30;0,439;TOS;1270.00;;0.00;M.-13385A;;;;;
17;0;;0;;;8100054317;800X500X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;105,56;29;3,061;0;0;29;3,061;HWO;0.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
18;0;;0;;;8100054317;800X500X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;105,56;29;3,061;44;4,645;-15;-1,583;HWO;0.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
19;0;;0;;;8100054083;680X570X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;102,288;58;5,933;0;0;58;5,933;HWO;0.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
20;0;;0;;;8100054083;680X570X145 GEHQ \ o.G.;1,1E+11;PR;P-SI-L5;102,288;58;5,933;87;8,899;-29;-2,966;HWO;0.00;;0.00;;STANDARD, GEH FORMATE >40KG;GEHQ-9.04701.005-S;900558;H001;'@5F@
21;0;520001423;0;YARA Brunsbüttel GmbH;24.07.2015;8100055612;S21 K99 \ o.G.;1,1E+11;PR;P-SI-V10;9,865;465;4,863;0;0;493;4,863;MTO;1720.00;;1.00;M.-4822;STANDARD;K99-9.69001.007-S;900521;H001;'@5F@
22;0;520001423;0;YARA Brunsbüttel GmbH;24.07.2015;8100055612;S21 K99 \ o.G.;1,1E+11;PR;P-SI-V10;9,865;465;4,863;0;0;493;4,863;MTO;1720.00;;1.00;M.-4822;STANDARD;K99-9.69001.007-S;900521;H001;'@5F@
