Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Quality;;Quality-Version;YSOR vers.;Arbeitsplatz;Bedarfsmenge SD;Gewicht/1 ST [KG];Vorgangsmenge;Vorgangsmenge [TO];Gedrückt;Rest Presse;Rest Presse [TO];Auftrag;Modellnummer
0;520005114;900;Refel S.P.A.;20.03.2020;8100066456;5383A ZS65AL \ o.G.;900793;ZS65AL-9.77203.004-S;H003;'@9V@;HAND;8,000;24,236;10,000;0,242;0,000;10,000;0,242;110000160962;EP27462
0;520005114;940;Refel S.P.A.;20.03.2020;8100069354;ML300X300X180 GEHQ-H \ XF600-30 PD-Si96;900575;GEHQ-H-9.04703.005-A;H001;'@9V@;HAND;3,000;27,081;5,000;0,135;0,000;5,000;0,135;110000160964;S26518
0;520005114;990;Refel S.P.A.;20.03.2020;8100069355;ML300X300X180-1 GEHQ-H\ XF600-35 PD-Si96;900575;GEHQ-H-9.04703.005-A;H001;'@9V@;HAND;1,000;26,010;2,000;0,052;0,000;2,000;0,052;110000160966;S26518A
0;520005114;540;Refel S.P.A.;20.03.2020;8100092700;KS465X375X190 OT70-H \ 2512 PD-S70;900501;OT70-H-9.43003.002-S;H001;'@5F@;HAND;1,000;81,523;2,000;0,163;0,000;2,000;0,163;110000160948;P31813
0;520005114;850;Refel S.P.A.;20.03.2020;8100092701;F310X260X212 GEH-H \ 3718 PD-Si96;900574;GEH-H-9.04003.003-S;H001;'@9V@;HAND;4,000;26,827;5,000;0,134;0,000;5,000;0,134;110000160960;S26806
0;520005114;840;Refel S.P.A.;20.03.2020;8100092702;F260X225X185 GEH-H \ 3717 PD-Si96;900574;GEH-H-9.04003.003-S;H001;'@9V@;HAND;2,000;15,161;3,000;0,045;0,000;3,000;0,045;110000160956;S26807
0;520005114;760;Refel S.P.A.;20.03.2020;8100057657;2GB24 GEH-H \ 2GB24 PD-Si96;900574;GEH-H-9.04003.003-S;H001;'@9V@;HAND;7,000;5,442;8,000;0,044;0,000;8,000;0,044;110000160952;S2GB24
0;520005114;310;Refel S.P.A.;20.03.2020;8100092735;720X335X250 ZM20AB-H \ o.G.;900796;ZM20AB-H-9.70003.005-A;H001;'@9V@;HAND;2,000;180,900;3,000;0,543;0,000;3,000;0,543;110000160941;P31814
0;520005186;20;Schott AG;03.02.2020;8100054047;630X375X130 GEHQ-H \ 630X375X130 Si96;900575;GEHQ-H-9.04703.019-S;H002;'@9V@;HAND;60,000;55,283;64,000;3,538;58,000;6,000;0,332;110000158019;S23630
0;520005186;30;Schott AG;03.02.2020;8100054342;880X250X130 GEHQ-H \ 880X250X130 Si96;900575;GEHQ-H-9.04703.019-S;H002;'@9V@;HAND;30,000;51,480;33,000;1,699;30,000;3,000;0,154;110000158021;S23632
0;520005114;1010;Refel S.P.A.;20.03.2020;8100087452;5383A ZM20AB-H \ 5383A PD-ZM20;900796;ZM20AB-H-9.70003.005-A;H001;'@9V@;HAND;8,000;19,134;10,000;0,191;0,000;10,000;0,191;110000161139;S21410
0;520004787;4280;Vimexico SA de CV;18.11.2019;8100091279;WL297X280X230 GEH-H \ WL297x280x230 PD-S;900574;GEH-H-9.04003.003-S;H001;'@9V@;HAND;10,000;27,464;12,000;0,330;0,000;12,000;0,330;110000161085;S26787
0;520005177;40;DOMINION Deutschland GmbH;28.02.2020;8100074406;10313-3 K99-H \ 10313-3 Karrbrick K99;900522;K99-H-9.69003.003-S;H001;'@9V@;HAND;2,000;20,789;4,000;0,083;0,000;4,000;0,083;110000161097;P30833
0;520005177;50;DOMINION Deutschland GmbH;28.02.2020;8100074407;10313-4 K99-H \ 10313-4 Karrbrick K99;900522;K99-H-9.69003.003-S;H001;'@9V@;HAND;2,000;19,527;4,000;0,078;0,000;4,000;0,078;110000161099;P30834
